"model","R2","Adj_R2","F_statistic","p_F","n"
"Original",0.689908724032489,0.643395032637362,14.8323795282516,2.57713725694127e-05,24
"Enhanced",0.705631312780836,0.623862232997735,8.62956162222417,0.000258139486672497,24
"10km sensitivity",0.314703772045388,0.143379715056735,1.8368918970103,0.194175729600635,16
