"lganame","n_cells","mean_mmr","max_mmr"
"Dawakin Kudu",2,36.3829590536862,37.545863375236
"Takai",2,40.0227100195032,42.9636180278109
"Wudil",2,38.0710838798588,38.9200300822802
"Bunkure",1,41.1118232565548,41.1118232565548
"Kura",1,36.8816811289053,36.8816811289053
"Warawa",1,35.2063569716603,35.2063569716603
