"grid","weight","n_cells","moran_i","p_value"
"2 km","Queen",91,-0.0062489973530119,0.426074998612054
"2 km","KNN5",91,-0.0804744525547438,0.888109264155646
"3 km","Queen",87,0.17827380952381,0.138473771772301
"3 km","KNN5",87,-0.0517857142857138,0.750864261216616
"5 km","Queen",82,0.0889843220251917,0.214074292217274
"5 km","KNN5",82,0.0402695871946079,0.183061891929003
"10 km","Queen",67,0.30992866875812,0.00279381637865469
"10 km","KNN5",67,0.374802547770698,9.72159331175317e-10
