"model","R2","Adj_R2","F_statistic","p_F","n"
"Original",0.650827668711378,0.589209022013386,10.5621869935125,0.000371521864617234,21
"Enhanced",0.680277922238447,0.573703896317929,6.38314933083033,0.0022864706518681,21
"10km sensitivity",0.323877534118197,0.121040794353656,1.59673999145403,0.251344476307441,14
