"lganame","n_cells","mean_mmr","max_mmr"
"Dawakin Kudu",2,36.1171665767808,37.2586324238254
"Wudil",2,37.7441715074979,38.6054867037985
"Bunkure",1,40.7494303172362,40.7494303172362
"Kura",1,36.6055504108525,36.6055504108525
"Takai",1,42.5792539055638,42.5792539055638
