"term","estimate","std.error","statistic","p.value","model"
"(Intercept)",7.56729741533643,7.02101713941556,1.0778064296203,0.296177110372638,"Original"
"depr",1.94739174947693,3.40185519087665,0.572449925176002,0.57451058022849,"Original"
"pop_dens",-0.00259383641398249,0.00134911927699036,-1.9226145962193,0.0714474445219087,"Original"
"dist_km",1.07128386269967,0.370282878789405,2.8931498701806,0.0101082232516432,"Original"
"(Intercept)",18.8362911781488,12.0116554413074,1.56816779087518,0.137692313470635,"Enhanced"
"depr",2.63515016938919,3.79988017740768,0.69348243796122,0.49860556558467,"Enhanced"
"pop_dens",-0.00253333212498529,0.0013802764334376,-1.83538026413737,0.086354370862749,"Enhanced"
"dist_km",0.418457695048365,0.673063276050169,0.621721181259596,0.543459708985544,"Enhanced"
"facility_dens",-0.454365123210887,0.485381460248311,-0.936099048732605,0.364049628567798,"Enhanced"
"urban",-7.95693545440596,7.40336685270426,-1.07477254777662,0.299461650725776,"Enhanced"
"(Intercept)",5.46641996051827,10.3176247223735,0.52981379994026,0.607802576835639,"10km sensitivity"
"depr",0.13953938719848,4.7812457690633,0.0291847342592928,0.97729149641863,"10km sensitivity"
"pop_dens",-0.00185214039427534,0.00249985607497275,-0.740898811262777,0.47579241842466,"10km sensitivity"
"dist_km",0.216302545682841,0.30699496130554,0.704580116764732,0.497152423169338,"10km sensitivity"
