"grid","weight","n_cells","moran_i","p_value"
"2 km","Queen",74,0.0272973439036553,0.319252975309977
"2 km","KNN5",74,-0.0322814278323846,0.618303704709541
"3 km","Queen",74,0.29166735458733,0.056489952582796
"3 km","KNN5",74,0.054123396456933,0.141755084310474
"5 km","Queen",69,0.161593481147872,0.0682634556092088
"5 km","KNN5",69,0.204581673306771,8.3665587388372e-05
"10 km","Queen",56,0.32362639021907,0.0033122042637238
"10 km","KNN5",56,0.307809385758288,5.25678795111427e-07
